epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.5946575403213501,0.5860921144485474,0.6979166865348816,0.7233333587646484
2,0.5825470089912415,0.5755707025527954,0.7145833373069763,0.7266666889190674
3,0.571056604385376,0.5656067132949829,0.7329166531562805,0.7366666793823242
4,0.5601840019226074,0.5561704635620117,0.7450000047683716,0.746666669845581
5,0.5499164462089539,0.5472168922424316,0.7524999976158142,0.75
6,0.5402272939682007,0.5386963486671448,0.7604166865348816,0.7566666603088379
7,0.5310788154602051,0.5305670499801636,0.7695833444595337,0.7666666507720947
8,0.5224301218986511,0.5227965712547302,0.777916669845581,0.7733333110809326
9,0.5142425298690796,0.5153575539588928,0.7820833325386047,0.7766666412353516
10,0.5064802765846252,0.5082268714904785,0.7875000238418579,0.7799999713897705
11,0.4991110861301422,0.5013853907585144,0.7941666841506958,0.7866666913032532
12,0.49210622906684875,0.49481797218322754,0.7983333468437195,0.7933333516120911
13,0.4854404330253601,0.48851314187049866,0.8029166460037231,0.79666668176651
14,0.47909221053123474,0.4824620187282562,0.8087499737739563,0.8066666722297668
15,0.47304320335388184,0.4766582250595093,0.8137500286102295,0.8066666722297668
16,0.46727773547172546,0.47109681367874146,0.815833330154419,0.8066666722297668
17,0.46178263425827026,0.46577394008636475,0.8212500214576721,0.8066666722297668
18,0.45654618740081787,0.46068665385246277,0.8233333230018616,0.8066666722297668
19,0.45155832171440125,0.45583227276802063,0.8270833492279053,0.8133333325386047
20,0.44681021571159363,0.451208233833313,0.8316666483879089,0.8133333325386047
21,0.4422934353351593,0.4468117356300354,0.8337500095367432,0.8166666626930237
22,0.4380001723766327,0.4426393210887909,0.8366666436195374,0.8233333230018616
23,0.4339228868484497,0.4386872947216034,0.8383333086967468,0.8299999833106995
24,0.4300539195537567,0.4349507689476013,0.8391666412353516,0.8299999833106995
25,0.42638540267944336,0.43142426013946533,0.8416666388511658,0.8333333134651184
26,0.42290934920310974,0.42810124158859253,0.8424999713897705,0.8333333134651184
27,0.41961750388145447,0.42497459053993225,0.8433333039283752,0.8333333134651184
28,0.4165012836456299,0.42203614115715027,0.8445833325386047,0.8366666436195374
29,0.41355207562446594,0.4192773699760437,0.8454166650772095,0.8399999737739563
30,0.41076087951660156,0.4166891574859619,0.8462499976158142,0.8366666436195374
31,0.40811893343925476,0.4142621159553528,0.8483333587646484,0.8399999737739563
32,0.40561747550964355,0.41198673844337463,0.8483333587646484,0.846666693687439
33,0.40324798226356506,0.4098535478115082,0.8495833277702332,0.8500000238418579
34,0.40100234746932983,0.4078534245491028,0.8504166603088379,0.8500000238418579
35,0.3988727927207947,0.4059772491455078,0.8504166603088379,0.8500000238418579
36,0.3968520164489746,0.4042166769504547,0.8508333563804626,0.8533333539962769
37,0.3949333429336548,0.40256360173225403,0.8516666889190674,0.8533333539962769
38,0.3931104838848114,0.40101054310798645,0.8516666889190674,0.8533333539962769
39,0.3913778066635132,0.3995506167411804,0.8512499928474426,0.8533333539962769
40,0.38973018527030945,0.3981773257255554,0.8516666889190674,0.8533333539962769
41,0.38816267251968384,0.39688464999198914,0.8520833253860474,0.8533333539962769
42,0.3866710662841797,0.3956672251224518,0.8520833253860474,0.8533333539962769
43,0.3852512836456299,0.3945198953151703,0.8520833253860474,0.8533333539962769
44,0.38389959931373596,0.39343804121017456,0.8516666889190674,0.8533333539962769
45,0.3826123774051666,0.39241713285446167,0.8516666889190674,0.8533333539962769
46,0.38138630986213684,0.39145323634147644,0.8525000214576721,0.8533333539962769
47,0.38021814823150635,0.3905424475669861,0.8529166579246521,0.8533333539962769
48,0.3791048526763916,0.38968127965927124,0.8537499904632568,0.8533333539962769
49,0.37804341316223145,0.38886645436286926,0.8541666865348816,0.8533333539962769
50,0.3770309388637543,0.38809481263160706,0.8550000190734863,0.8533333539962769
51,0.3760647475719452,0.3873635232448578,0.8558333516120911,0.8533333539962769
52,0.3751421272754669,0.38666996359825134,0.856249988079071,0.8533333539962769
53,0.37426066398620605,0.3860117197036743,0.856249988079071,0.8533333539962769
54,0.37341785430908203,0.38538646697998047,0.856249988079071,0.8566666841506958
55,0.37261155247688293,0.3847923278808594,0.8579166531562805,0.8566666841506958
56,0.3718396723270416,0.38422736525535583,0.8579166531562805,0.8566666841506958
57,0.3711002469062805,0.383689820766449,0.8579166531562805,0.8566666841506958
58,0.37039145827293396,0.3831782639026642,0.8579166531562805,0.8566666841506958
59,0.36971166729927063,0.38269126415252686,0.8579166531562805,0.8566666841506958
60,0.3690592348575592,0.38222745060920715,0.8579166531562805,0.8600000143051147
61,0.3684328496456146,0.38178566098213196,0.8579166531562805,0.8600000143051147
62,0.36783114075660706,0.3813647925853729,0.8575000166893005,0.8600000143051147
63,0.36725279688835144,0.38096365332603455,0.8575000166893005,0.8600000143051147
64,0.36669671535491943,0.3805813491344452,0.8579166531562805,0.8600000143051147
65,0.36616185307502747,0.3802167773246765,0.8583333492279053,0.8600000143051147
66,0.3656470477581024,0.3798690736293793,0.8579166531562805,0.8600000143051147
67,0.36515137553215027,0.37953734397888184,0.8575000166893005,0.8600000143051147
68,0.3646738827228546,0.37922051548957825,0.8583333492279053,0.8600000143051147
69,0.3642136752605438,0.37891799211502075,0.85916668176651,0.8633333444595337
70,0.36376985907554626,0.37862876057624817,0.8587499856948853,0.8633333444595337
71,0.36334162950515747,0.37835201621055603,0.8587499856948853,0.8633333444595337
72,0.36292827129364014,0.3780870735645294,0.85916668176651,0.8633333444595337
73,0.3625290095806122,0.3778332471847534,0.85916668176651,0.8633333444595337
74,0.36214306950569153,0.37758973240852356,0.8587499856948853,0.8633333444595337
75,0.36177003383636475,0.3773559629917145,0.85916668176651,0.8633333444595337
76,0.3614090085029602,0.37713131308555603,0.85958331823349,0.8633333444595337
