epoch,train_loss,val_loss
1,0.4495863674581051,0.05287284106016159
2,0.034987573027610776,0.025023182667791844
3,0.026999260087807973,0.02478580633178353
4,0.022122177655498187,0.02191431662067771
5,0.017028619286914667,0.016368211386725305
6,0.015042759760593374,0.013504596427083015
7,0.024305157431711754,0.019862799812108277
8,0.00989680979711314,0.010172391566447914
9,0.01016888397745788,0.010669176978990436
10,0.008984255694473782,0.007245781505480409
11,0.008031962929914396,0.00619977645110339
12,0.0070071209656695525,0.006613338063471019
13,0.006750072316887478,0.0053814269485883415
14,0.0077366356846566,0.007365025556646287
15,0.0055832215895255406,0.005815941549371928
16,0.006785905046078066,0.006274312315508723
17,0.006624369897569219,0.005582844803575427
18,0.005084480211759607,0.005632181582041085
