epoch,train_loss,val_loss
1,0.423279874175787,0.04403307214379311
2,0.030743989199399947,0.023181110620498657
3,0.026168935460348923,0.025205494463443757
4,0.020740358674277863,0.019802623987197877
5,0.0158600514754653,0.020920681674033402
6,0.020043585331489644,0.02565605314448476
7,0.014727754375586906,0.011592541029676795
8,0.016072005166982612,0.01562611977569759
9,0.010750160490473112,0.007342292601242662
10,0.011140921786427498,0.02500384896993637
11,0.010309459601218502,0.007137074111960828
12,0.00697442173336943,0.006327481963671744
13,0.007358422195538878,0.005408804933540523
14,0.006952767646871507,0.005217729439027608
15,0.008694524529079596,0.005065153120085597
16,0.0059837094911684595,0.004997702594846487
17,0.006786354971118271,0.005155947967432439
18,0.005765713638005157,0.00488988624420017
