epoch,train_loss,val_loss
1,0.4101492720594009,0.05591980665922165
2,0.026427119535704455,0.02219274304807186
3,0.02024933885782957,0.02754306704737246
4,0.012672928969065349,0.013221852853894234
5,0.00965794112533331,0.01217567902058363
6,0.010515836911896864,0.012488465989008546
7,0.009247972595815857,0.007073689671233297
8,0.007740426662688454,0.009801183314993977
9,0.00659701328103741,0.005457112612202763
10,0.006348981171225508,0.006594194145873189
11,0.005036919321864844,0.004975186049705371
12,0.0044449125183746215,0.004520983435213566
13,0.003922321158461273,0.004595433175563812
14,0.0035543530123929184,0.004566203156718985
15,0.004061199480978151,0.004752725007710979
16,0.0035875501452634732,0.004304183335625567
17,0.003160908538848162,0.004149623267585412
18,0.003629843726133307,0.003925129870185629
