epoch,train_loss,val_loss
1,1.719028227329254,1.0898646771907807
2,0.8118659456570944,0.6572201699018478
3,0.5917924650510152,0.436548638343811
4,0.40228594322999317,0.3477609813213348
5,0.3262007309993108,0.31705245077610017
6,0.2780383832255999,0.29085659980773926
7,0.248231507341067,0.2112686924636364
8,0.19383087168137234,0.17875764071941375
9,0.18142769773801168,0.17126934975385666
10,0.15781230092048645,0.16075828522443772
11,0.13059036458532017,0.15060435570776462
12,0.12700169737140338,0.12495619282126427
13,0.11627425958712896,0.11336072273552418
14,0.1083830555776755,0.11130229383707047
15,0.10905039216081301,0.11682474203407764
16,0.10219466216862201,0.10109954290091991
17,0.09278060346841813,0.10254160091280937
18,0.09622868672013282,0.10130534060299397
