epoch,train_loss,val_loss
1,2.603537114461263,1.885362720489502
2,1.6404622872670491,1.2975590646266937
3,1.230081197420756,1.0820016503334045
4,0.9555892610549926,0.8091839849948883
5,0.7839258591334025,0.6536104857921601
6,0.5843683079878489,0.5020507246255874
7,0.5299135967095693,0.43967722952365873
8,0.43116581737995147,0.42457117736339567
9,0.37130439122517905,0.3746397376060486
10,0.34127737442652384,0.36011724174022675
11,0.3119173637032509,0.3517970979213715
12,0.290222732424736,0.32622779309749605
13,0.26281159281730654,0.28275545984506606
14,0.24884819010893502,0.25784135311841966
15,0.251934147576491,0.2643828228116035
16,0.23605485409498214,0.25557383745908735
17,0.23264130850632986,0.26110955625772475
18,0.22857779622077942,0.25630644261837005
