epoch,train_loss,val_loss
1,2.6931527423858643,1.9301286339759827
2,1.6547712246576944,1.4063459753990173
3,1.207572914759318,1.059317934513092
4,0.9362918090820312,0.8141456246376038
5,0.7426304666201273,0.6676322519779205
6,0.6161244976520538,0.6068846404552459
7,0.534505981206894,0.5235268652439118
8,0.47539160211881004,0.5038375109434128
9,0.4060954097906748,0.43430639505386354
10,0.38411418298880257,0.4225096791982651
11,0.34232094248135886,0.37805459648370743
12,0.3361633255084356,0.3758791029453278
13,0.3046326144536336,0.35610667914152144
14,0.285679231484731,0.33151819556951523
15,0.2761442443728447,0.3292943760752678
16,0.26872238516807556,0.31390051245689393
17,0.2632283059755961,0.3150131866335869
18,0.27480098863442737,0.30962805300951
