epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.5741727948188782,0.5505073666572571,0.7350000143051147,0.7666666507720947
2,0.5636018514633179,0.541239321231842,0.7429166436195374,0.7699999809265137
3,0.5534789562225342,0.5323706865310669,0.7591666579246521,0.7733333110809326
4,0.5438023209571838,0.5238907933235168,0.7674999833106995,0.7766666412353516
5,0.5345641374588013,0.515789270401001,0.7787500023841858,0.7799999713897705
6,0.5257540941238403,0.5080561637878418,0.7862499952316284,0.7866666913032532
7,0.5173608064651489,0.5006813406944275,0.793749988079071,0.8066666722297668
8,0.5093714594841003,0.49365484714508057,0.8008333444595337,0.8133333325386047
9,0.5017727017402649,0.48696574568748474,0.8058333396911621,0.8199999928474426
10,0.49454981088638306,0.48060154914855957,0.8116666674613953,0.8266666531562805
11,0.4876869320869446,0.47454920411109924,0.8129166960716248,0.8233333230018616
12,0.48116713762283325,0.46879518032073975,0.8199999928474426,0.8333333134651184
13,0.47497323155403137,0.463326096534729,0.8237500190734863,0.8333333134651184
14,0.46908798813819885,0.4581291675567627,0.8258333206176758,0.8333333134651184
15,0.46349477767944336,0.45319223403930664,0.8266666531562805,0.8333333134651184
16,0.4581778347492218,0.4485038220882416,0.8291666507720947,0.8333333134651184
17,0.4531223177909851,0.44405293464660645,0.8308333158493042,0.8399999737739563
18,0.44831395149230957,0.43982890248298645,0.8329166769981384,0.8433333039283752
19,0.44373998045921326,0.4358215928077698,0.8349999785423279,0.8433333039283752
20,0.4393877685070038,0.43202102184295654,0.8337500095367432,0.846666693687439
21,0.4352457821369171,0.4284175634384155,0.8370833396911621,0.8533333539962769
22,0.431302934885025,0.4250018000602722,0.840833306312561,0.8500000238418579
23,0.427548885345459,0.42176443338394165,0.8420833349227905,0.8533333539962769
24,0.42397361993789673,0.41869646310806274,0.84375,0.8566666841506958
25,0.4205678701400757,0.41578927636146545,0.8458333611488342,0.8566666841506958
26,0.41732272505760193,0.4130343198776245,0.847083330154419,0.8566666841506958
27,0.41422972083091736,0.41042351722717285,0.8487499952316284,0.8600000143051147
28,0.41128093004226685,0.40794894099235535,0.8500000238418579,0.8600000143051147
29,0.4084688127040863,0.40560320019721985,0.8504166603088379,0.8633333444595337
30,0.4057861566543579,0.4033792018890381,0.8504166603088379,0.8633333444595337
31,0.4032262861728668,0.40127015113830566,0.8508333563804626,0.8633333444595337
32,0.4007827639579773,0.3992695212364197,0.8512499928474426,0.8633333444595337
33,0.398449569940567,0.3973711133003235,0.8512499928474426,0.8633333444595337
34,0.3962210416793823,0.3955693244934082,0.8500000238418579,0.8633333444595337
35,0.39409151673316956,0.39385852217674255,0.8508333563804626,0.8633333444595337
36,0.3920561373233795,0.392233669757843,0.8512499928474426,0.8666666746139526
37,0.39010992646217346,0.39068976044654846,0.8520833253860474,0.8666666746139526
38,0.38824835419654846,0.38922232389450073,0.8516666889190674,0.8633333444595337
