epoch,train_loss,val_loss
1,1.7510375014940898,0.8676406264305114
2,0.6280742398897807,0.38179547190666197
3,0.3279831794897715,0.2250956267118454
4,0.19080988387266795,0.15528013855218886
5,0.1409019515911738,0.12100767865777015
6,0.09401907106240591,0.08124533966183663
7,0.08857959613204003,0.0690232202410698
8,0.06274034264187019,0.06728033795952797
9,0.0576706483711799,0.05911687463521957
10,0.05541317398349444,0.04869755543768406
11,0.049728559491535027,0.046308659575879575
12,0.0506296435246865,0.049200067296624184
13,0.040789472435911495,0.040043134801089765
14,0.037521505169570445,0.03523770160973072
15,0.03664391119033098,0.037834965996444224
16,0.034085938849796854,0.03409715723246336
17,0.03525860639909903,0.03391123320907354
18,0.03967204863826434,0.033805892802774906
