epoch,train_loss,val_loss
1,0.39860961464544137,0.04194260379299521
2,0.021182741913944484,0.016888170130550863
3,0.018455550856888294,0.017876463662832975
4,0.013192040789872407,0.020141846779733897
5,0.012824657671153546,0.01196950962767005
6,0.010205357487623891,0.013757876772433519
7,0.01018389644411703,0.006698921485804021
8,0.007362531712278724,0.0074384449166245755
9,0.006032734788022936,0.007579221692867577
10,0.006074134305429955,0.007412973861210048
11,0.004827928148830931,0.0054691732628270985
12,0.004152349596843123,0.004356170364189893
13,0.0037484766682609914,0.003502920304890722
14,0.003651605495251715,0.0033043939794879405
15,0.0033753859888141355,0.003427149634808302
16,0.003978501153954615,0.0025988422450609503
17,0.0034394311687598626,0.002536225225776434
18,0.003235173691064119,0.002611148066353053
